,type_of_company,company_name,company_url
245,Capital Goods - Electrical Equipment companies,Bharat Bijlee,https://www.screener.in/company/BBL
246,Capital Goods - Electrical Equipment companies,IKIO Lighting,https://www.screener.in/company/IKIO
247,Capital Goods - Electrical Equipment companies,Honda India,https://www.screener.in/company/HONDAPOWER
248,Capital Goods - Electrical Equipment companies,Rishabh Instrum.,https://www.screener.in/company/RISHABH
249,Capital Goods - Electrical Equipment companies,Spectrum Electr.,https://www.screener.in/company/SPECTRUM
250,Capital Goods - Electrical Equipment companies,Shilchar Tech.,https://www.screener.in/company/531201
251,Capital Goods - Electrical Equipment companies,Artemis Electri.,https://www.screener.in/company/542670
252,Capital Goods - Electrical Equipment companies,Servotech Power,https://www.screener.in/company/SERVOTECH
253,Capital Goods - Electrical Equipment companies,HPL Electric,https://www.screener.in/company/HPL
254,Capital Goods - Electrical Equipment companies,Insolation Ener,https://www.screener.in/company/543620
255,Capital Goods - Electrical Equipment companies,Kabra Extrusion,https://www.screener.in/company/KABRAEXTRU
256,Capital Goods - Electrical Equipment companies,Marine Electric.,https://www.screener.in/company/MARINE
257,Capital Goods - Electrical Equipment companies,Jyoti Structures,https://www.screener.in/company/JYOTISTRUC
258,Capital Goods - Electrical Equipment companies,Focus Lighting,https://www.screener.in/company/FOCUS
259,Capital Goods - Electrical Equipment companies,Websol Energy,https://www.screener.in/company/WEBELSOLAR
260,Capital Goods - Electrical Equipment companies,ICE Make Refrig.,https://www.screener.in/company/ICEMAKE
261,Capital Goods - Electrical Equipment companies,Swelect Energy,https://www.screener.in/company/SWELECTES
262,Capital Goods - Electrical Equipment companies,Taylormade Renew,https://www.screener.in/company/541228
263,Capital Goods - Electrical Equipment companies,Kirl. Electric,https://www.screener.in/company/KECL
264,Capital Goods - Electrical Equipment companies,Indo Tech.Trans.,https://www.screener.in/company/INDOTECH
265,Capital Goods - Electrical Equipment companies,Salzer Electron.,https://www.screener.in/company/SALZERELEC
266,Capital Goods - Electrical Equipment companies,RMC Switchgears,https://www.screener.in/company/540358
267,Capital Goods - Electrical Equipment companies,Wonder Electric.,https://www.screener.in/company/WEL
268,Capital Goods - Electrical Equipment companies,Concord Control,https://www.screener.in/company/543619
269,Capital Goods - Electrical Equipment companies,High Energy Bat.,https://www.screener.in/company/504176
270,Capital Goods - Electrical Equipment companies,Modern Insulator,https://www.screener.in/company/515008
271,Capital Goods - Electrical Equipment companies,Modison,https://www.screener.in/company/MODISONLTD
272,Capital Goods - Electrical Equipment companies,Lak. Electrical,https://www.screener.in/company/504258
273,Capital Goods - Electrical Equipment companies,Solex Energy,https://www.screener.in/company/SOLEX
274,Capital Goods - Electrical Equipment companies,Supreme Power,https://www.screener.in/company/SUPREMEPWR
275,Capital Goods - Electrical Equipment companies,Kundan Edifice L,https://www.screener.in/company/KEL
276,Capital Goods - Electrical Equipment companies,Veto Switchgears,https://www.screener.in/company/VETO
277,Capital Goods - Electrical Equipment companies,Star Delta Trans,https://www.screener.in/company/539255
278,Capital Goods - Electrical Equipment companies,Surana Solar,https://www.screener.in/company/SURANASOL
279,Capital Goods - Electrical Equipment companies,Amba Enterprises,https://www.screener.in/company/539196
280,Capital Goods - Electrical Equipment companies,Rexnord Electr.,https://www.screener.in/company/531888
281,Capital Goods - Electrical Equipment companies,Aartech Solonics,https://www.screener.in/company/AARTECH
282,Capital Goods - Electrical Equipment companies,RTS Power Corpn.,https://www.screener.in/company/531215
283,Capital Goods - Electrical Equipment companies,Dhanashree Elect,https://www.screener.in/company/542679
284,Capital Goods - Electrical Equipment companies,Kaycee Inds.,https://www.screener.in/company/504084
285,Capital Goods - Electrical Equipment companies,JSL Industries,https://www.screener.in/company/504080
286,Capital Goods - Electrical Equipment companies,S & S Power Swit,https://www.screener.in/company/S&SPOWER
287,Capital Goods - Electrical Equipment companies,Jyoti,https://www.screener.in/company/504076
288,Capital Goods - Electrical Equipment companies,Marsons,https://www.screener.in/company/517467
289,Capital Goods - Electrical Equipment companies,Viviana Power,https://www.screener.in/company/VIVIANA
290,Capital Goods - Electrical Equipment companies,Advance Meter.,https://www.screener.in/company/534612
291,Capital Goods - Electrical Equipment companies,Quest Softech,https://www.screener.in/company/535719
292,Capital Goods - Electrical Equipment companies,Alfa Transformer,https://www.screener.in/company/517546
293,Capital Goods - Electrical Equipment companies,Maks Energy,https://www.screener.in/company/MAKS
294,Capital Goods - Electrical Equipment companies,Evans Electric,https://www.screener.in/company/542668
295,Capital Goods - Electrical Equipment companies,Agni Green,https://www.screener.in/company/AGNI
296,Capital Goods - Electrical Equipment companies,Sungarner Energ.,https://www.screener.in/company/SEL
297,Capital Goods - Electrical Equipment companies,Cospower Engine.,https://www.screener.in/company/543172
298,Capital Goods - Electrical Equipment companies,Sparc Electrex,https://www.screener.in/company/531370
299,Capital Goods - Electrical Equipment companies,Switching Tech.,https://www.screener.in/company/517201
300,Capital Goods - Electrical Equipment companies,Bright Solar,https://www.screener.in/company/BRIGHT
301,Capital Goods - Electrical Equipment companies,Tarapur Trans,https://www.screener.in/company/TARAPUR
302,Capital Goods - Electrical Equipment companies,Integra Switch,https://www.screener.in/company/517423
303,Capital Goods - Electrical Equipment companies,Sterling Powerg.,https://www.screener.in/company/513575
304,Capital Goods - Electrical Equipment companies,Epic Energy,https://www.screener.in/company/530407
305,Capital Goods - Electrical Equipment companies,IMP Powers,https://www.screener.in/company/INDLMETER
306,Capital Goods - Electrical Equipment companies,Cont. Controls,https://www.screener.in/company/531460
307,Capital Goods - Electrical Equipment companies,Surana Solar,https://www.screener.in/company/SURANASOL
308,Capital Goods - Electrical Equipment companies,Amba Enterprises,https://www.screener.in/company/539196
309,Capital Goods - Electrical Equipment companies,Rexnord Electr.,https://www.screener.in/company/531888
310,Capital Goods - Electrical Equipment companies,Aartech Solonics,https://www.screener.in/company/AARTECH
311,Capital Goods - Electrical Equipment companies,RTS Power Corpn.,https://www.screener.in/company/531215
312,Capital Goods - Electrical Equipment companies,Dhanashree Elect,https://www.screener.in/company/542679
313,Capital Goods - Electrical Equipment companies,Kaycee Inds.,https://www.screener.in/company/504084
